
#No	Formula	CAS	SMILES	Tfus	Tvap	Tc	CID	Remark
1	CH4O	67-56-1	CO	176	338	513	kcY4PHE01W	CHON
2	CH5N	74-89-5	CN	180	267	431	kcU5MI647K	CHON
3	CH2O	50-00-0	C=O	155	254	418	kcX4WR031E	CHON
4	C2H6O	64-17-5	CCO	159	352	515	kcQ0NB21PG	CHON
5	C2H6O	115-10-6	COC	132	248	400	kc0T6DFSOX	CHON
6	C2H7N	75-04-7	CCN	192	290	456	kcT2ALW0LY	CHON
7	CH2O2	64-18-6	OC=O	281	374	588	kcWA9U1KV5	CHON
8	C2H4O	75-07-0	CC=O	150	293	462	kcI1ITY6SA	CHON
9	C2H7N	124-40-3	CNC	180	280	437	kcZTNSYCZT	CHON
10	C3H6O	67-64-1	CC(=O)C	178	329	508	kcLCVY6XSS	CHON
11	C3H6O	123-38-6	CCC=O	171	321	504	kcIAF6FIVH	CHON
12	C3H8O	71-23-8	CCCO	149	370	537	kc0JP98IBO	CHON
13	C3H8O	67-63-0	CC(O)C	185	355	508	kcUUWMJLXX	CHON
14	C3H4O	107-02-8	C=CC=O	185	325	528	kcIQHFXXD4	CHON
15	C2H4O2	64-19-7	CC(=O)O	290	391	593	kcFK7N0JX7	CHON
16	C3H8O	540-67-0	COCC	None	281	438	kcB6RCUFHZ	CHON
17	C2H4O2	107-31-3	COC=O	173	305	487	kcFSXHUPPR	CHON
18	C3H9N	107-10-8	CCCN	188	320	498	kc5XAZ2C6Q	CHON
19	C3H6O	107-18-6	OCC=C	None	370	540	kcN0PW2HOA	CHON
20	C3H9N	75-31-0	CC(N)C	178	305	472	kcU72NRK4M	CHON
21	C2H6O2	107-21-1	OCCO	261	471	719	kcGY5UVSE9	diol_amide
22	C2H7NO	141-43-5	NCCO	284	443	672	kcX524RY0E	CHON
23	C3H7N	107-11-9	NCC=C	None	327	540	kcARR9XQF8	CHON
24	C2H8N2	107-15-3	NCCN	284	390	613	kcAEKJPNUX	CHON
25	C3H9N	624-78-2	CNCC	None	306	490	kcPNY5BNOB	CHON
26	C3H9N	75-50-3	CN(C)C	156	276	433	kc70J4OGKY	CHON
27	C4H8O	123-72-8	CCCC=O	176	348	537	kc7HW4BHS5	CHON
28	C4H10O	71-36-3	CCCCO	185	391	562	kc6JWAXH8W	CHON
29	C4H10O	78-92-2	CCC(O)C	185	373	536	kcS1G56SKT	CHON
30	C4H6O	4170-30-3	CC=CC=O	197	374	573	kcZSO06G7G	CHON
31	C4H8O	78-93-3	CCC(=O)C	186	353	536	kcO3197MWW	CHON
32	C4H8O	598-32-3	CC(C=C)O	None	370	546	kcXY3H1806	CHON
33	C3H6O2	109-94-4	CCOC=O	194	327	510	kcC5I58804	CHON
34	C4H11N	109-73-9	CCCCN	224	350	532	kc00SZVWFV	CHON
35	C3H4O2	78-98-8	O=CC(=O)C	None	346	598	kcSDCCBLVQ	CHON
36	C4H11N	13952-84-6	CCC(N)C	169	336	514	kc9Z89GTZ5	CHON
37	C4H8O	627-27-0	OCCC=C	None	386	556	kc944T60B4	CHON
38	C3H6O2	79-09-4	CCC(=O)O	253	414	603	kc47FUW2LX	CHON
39	C4H10O	4221-99-2	CC[C@@H](O)C	177	373	539	kcY387JH6Y	CHON
40	C4H10O	14898-79-4	CC[C@H](O)C	None	372	538	kcT7G91P85	CHON
41	C3H6O2	79-20-9	COC(=O)C	175	330	507	kcH6UJZPZJ	CHON
42	C4H6O	78-94-4	CC(=O)C=C	None	354	543	kcNQLZSCA9	CHON
43	C4H6O	123-73-9	C/C=C/C=O	None	375	574	kcR9GKI81M	CHON
44	C3H8O2	109-87-5	COCOC	168	315	488	kcQB54A8C3	CHON
45	C3H8O2	57-55-6	OCC(O)C	243	460	676	kcP2DR996E	diol_amide
46	C4H10O	557-17-5	CCCOC	134	312	476	kcHQIVKGW8	CHON
47	C3H8O2	504-63-2	OCCCO	246	488	719	kc61IOVWRP	diol_amide
48	C4H8O	78-84-2	O=CC(C)C	201	337	544	kcZR44KIIA	CHON
49	C4H10O	598-53-8	COC(C)C	128	304	464	kcDT2HNK3X	CHON
50	C4H11N	109-89-7	CCNCC	224	328	500	kcI2RN21HZ	CHON
51	C3H4O2	79-10-7	OC(=O)C=C	287	414	612	kc5B4MKNHD	CHON
52	C3H9NO	6168-72-5	CC(CO)N	364	439	631	kc7FXV32CE	CHON
53	C3H9NO	156-87-6	NCCCO	285	458	708	kc9G034HL9	CHON
54	C4H8O	4088-60-2	C/C=C\CO	None	364	576	kcSRW0KAN9	CHON
55	C4H6O	15798-64-8	C/C=C\C=O	None	357	536	kcAYPVU06Z	CHON
56	C3H9NO	78-96-6	CC(CN)O	275	414	659	kc5ZL7TTL1	CHON
57	C4H10O	78-83-1	OCC(C)C	171	381	548	kcQGH0UKDE	CHON
58	C3H9NO	109-85-3	COCCN	None	360	572	kcV1HRW25D	CHON
59	C3H6O2	10312-83-1	COCC=O	None	365	544	kcDN54YJDF	CHON
60	C3H8O2	109-86-4	COCCO	None	397	598	kcJ2W2V4PD	CHON
61	C4H8O	2516-33-8	OCC1CC1	None	389	576	kcGTJZQXRU	CHON
62	C4H10O	75-65-0	CC(O)(C)C	299	355	506	kc4KSS9644	CHON
63	C4H8O	627-40-7	COCC=C	None	320	492	kcPKD91R6S	CHON
64	C4H6O	78-85-3	CC(=C)C=O	None	341	539	kc6Y387WGY	CHON
65	C3H10N2	78-90-0	NCC(N)C	237	394	589	kcFAG797NJ	CHON
66	C3H8O2	4254-14-2	OC[C@H](O)C	None	461	656	kcHAZL74F0	diol_amide
67	C3H8O2	4254-15-3	OC[C@@H](O)C	None	463	654	kcCMHHAT1E	diol_amide
68	C3H6O2	116-09-6	CC(=O)CO	None	425	616	kcJI3SEX7K	CHON
69	C4H11N	4747-21-1	CNC(C)C	None	323	489	kc34D1DFZ9	CHON
70	C4H11N	78-81-9	NCC(C)C	187	341	534	kcIKY2CMV2	CHON
71	C4H11N	75-64-9	CC(N)(C)C	206	317	484	kcU6X5IWL3	CHON
72	C4H11N	627-35-0	CCCNC	None	336	524	kc0GDYHHOV	CHON
73	C4H11N	598-56-1	CCN(C)C	133	310	475	kcMTP9C1T1	CHON
74	C3H9NO	2749-11-3	C[C@@H](CO)N	None	437	599	kcUGDTV239	CHON
75	C3H9NO	35320-23-1	C[C@H](CO)N	None	440	631	kcF8T9JDP0	CHON
76	C3H9NO	2799-17-9	C[C@@H](CN)O	None	414	594	kcX3G56BW1	CHON
77	C3H10N2	109-81-9	CNCCN	None	389	605	kc2GWZJGIS	CHON
78	C4H11N	513-49-5	CC[C@@H](N)C	None	336	514	kcZYB37PEK	CHON
79	C3H9NO	109-83-1	CNCCO	None	433	655	kcFE14AXYF	CHON
80	C4H9N	2516-47-4	NCC1CC1	None	353	544	kc8F3BY3MK	CHON
81	C3H9NO	2799-16-8	C[C@@H](CN)O	None	414	594	kcDUSFAV3J	CHON
82	C3H6O3	616-38-6	COC(=O)OC	278	363	557	kcE6MU25U9	CHON
83	C5H10O	142-68-7	C1CCCOC1	224	361	572	kc70TQCU2C	CHON
84	C5H10O	110-62-3	CCCCC=O	192	376	567	kc42U09LSC	CHON
85	C4H8O2	107-89-1	CC(CC=O)O	None	424	669	kcC9KOER5U	CHON
86	C4H9NO	110-91-8	C1CNCCO1	268	401	625	kc1KZI2JIS	CHON
87	C4H10N2	110-85-0	N1CCNCC1	384	422	660	kc96GIUD9Y	CHON
88	C5H11N	110-89-4	C1CCCNC1	262	379	594	kc3SRDSDO1	CHON
89	C5H8O	2100-17-6	C=CCCC=O	None	377	587	kcYIN65BSI	CHON
90	C5H12O	6032-29-7	CCCC(O)C	None	392	560	kc9R001BLF	CHON
91	C4H8O2	123-91-1	O1CCOCC1	285	374	587	kcIVTH96KT	CHON
92	C5H12O	71-41-0	CCCCCO	196	411	588	kc1RN3W7O8	CHON
93	C5H12O	584-02-1	CCC(CC)O	203	389	560	kcW3DP80GE	CHON
94	C4H8O2	505-22-6	C1CCOCO1	None	378	593	kc5HL99UQP	CHON
95	C5H8O	5604-55-7	O=CCC=CC	None	379	567	kcIFVWFWZ5	CHON
96	C5H10O	107-87-9	CCCC(=O)C	196	375	561	kcOH0DMFRJ	CHON
97	C5H10O	96-22-0	CCC(=O)CC	234	375	561	kc899INZXI	CHON
98	C4H8O2	141-78-6	CCOC(=O)C	190	350	523	kcS0K78A9E	CHON
99	C5H8O	764-39-6	CCC=CC=O	None	397	594	kcW7EC0UBE	CHON
100	C4H8O2	107-92-6	CCCC(=O)O	268	437	622	kcFLELCMLP	CHON
101	C5H10O	616-25-1	CCC(C=C)O	None	391	557	kc6FOXOOHK	CHON
102	C3H6O3	110-88-3	O1COCOC1	333	388	611	kcXBQZ6AXU	CHON
103	C5H13N	616-24-0	CCC(CC)N	None	363	543	kcF25C1GVZ	CHON
104	C5H13N	625-30-9	CCCC(N)C	None	363	539	kcNJHMJTH9	CHON
105	C5H10O	821-09-0	OCCCC=C	None	409	592	kcLVBKS7AV	CHON
106	C4H10O2	6982-25-8	C[C@H]([C@H](O)C)O	280	453	631	kcZJJ967PY	diol_amide
107	C5H10O	39161-19-8	CC=CCCO	None	409	598	kcXD1LBW7O	CHON
108	C4H8O2	110-74-7	CCCOC=O	180	354	536	kc6H8HSJLE	CHON
109	C5H13N	110-58-7	CCCCCN	222	378	557	kcQXAV7QMU	CHON
110	C5H12O	628-28-4	CCCCOC	157	343	513	kcSHGMD63Z	CHON
111	C5H12O	6795-87-5	CCC(OC)C	None	334	503	kcUWZIMF3G	CHON
112	C5H12O	26184-62-3	CCC[C@@H](O)C	None	392	557	kc5QFQJIO5	CHON
113	C5H12O	31087-44-2	CCC[C@H](O)C	None	402	570	kcXVW362MI	CHON
114	C4H10O2	110-63-4	OCCCCO	294	503	724	kc08703AR8	diol_amide
115	C4H10O2	513-85-9	CC(C(O)C)O	292	454	636	kcYVEAS5DS	diol_amide
116	C5H10O	96-17-3	CC(C=O)CC	None	365	532	kcNF88OOKV	CHON
117	C4H10O2	107-88-0	OCCC(O)C	None	481	679	kcPK4FEOL3	diol_amide
118	C5H12O	625-54-7	CCOC(C)C	None	332	499	kcKQ7WKIUL	CHON
119	C5H10O	590-86-3	O=CCC(C)C	None	366	560	kc3Y09CCAY	CHON
